original,translated
Activities involving baseball,Các hoạt động liên quan đến bóng chày
Beriberi,Beriberi
Biliuria,Biliuria
"""Burn of unspecified site, unspecified degree""","""Burn của trang web không xác định, mức độ không xác định"""
Cachexia,Bộ nhớ cachexia
Chyluria,Chyluria
Claw toe (acquired),Ngón chân móng vuốt (có được)
Cyanosis,Cyanosis
Dacryops,Dacryops
Diarrhea,Tiêu chảy
Diplopia,VILLOPIA
Dog bite,Chó cắn
Enuresis,Enuresis
Other fall,Mùa thu khác
Unspecified fall,Mùa thu không xác định
Flushing,Flushing
Gangrene,Gangren
Glanders,Tuyến
"""Gout, unspecified""","""Gout, không xác định"""
Headache,Đau đầu
Hiccough,Nỗi nấc
Hypopyon,Hypopyon
Impetigo,Vụ chật chay
Jaw pain,Đau hàm
Macrotia,Macrotia
Microtia,Microtia
Nocturia,Nocturia
Pellagra,Pellagra
Polyuria,Đa niệu
Priapism,Priapism
Pulpitis,Viêm tủy
Rat bite,Chuột cắn
Sciatica,Đau thần kinh tọa
Activities involving swimming,Các hoạt động liên quan đến bơi lội
Vitiligo,Bệnh bạch cầu
Wheezing,Khò khè
"""Yaws, unspecified""","""Ngáp, không xác định"""
Alkalosis,Bệnh kiềm
Anodontia,Anodontia
Chalazion,Chắp
Chancroid,Chancroid
Claw hand (acquired),Móng tay (có được)
Coxa vara (acquired),Coxa VARA (có được)
Dysphonia,Chứng khó nuốt
Epistaxis,Epistaxis
Esophoria,Thực quản
Exophoria,Exophoria
Fetishism,Tôn sùng
"""Fever, unspecified""","""Sốt, không xác định"""
Flat foot,Chân phẳng
Glossitis,Viêm bóng
Heartburn,Ợ nóng
Hirsutism,Hirsutism
Hypoxemia,Hạ oxy máu
Lipidoses,Lipidoses
Monkeypox,Monkeypox
Myoclonus,Myoclonus
Orthopnea,Chỉnh hình
Pemphigus,Pemphigus
"""Pinta, unspecified""","""Pinta, không xác định"""
Pouchitis,Viêm túi
Pyromania,Pyromania
Rectocele,Trực tràng
"""Systemic inflammatory response syndrome, unspecified""","""Hội chứng đáp ứng viêm toàn thân, không xác định"""
Seborrhea,Bí tấu
"""Shock, unspecified""","""Sốc, không xác định"""
Siderosis of globe,Siderosis của Quả cầu
Suberosis,Suberosis
Tachypnea,Tachypnea
Activities involving vacuuming,Các hoạt động liên quan đến hút bụi
Voyeurism,Voyeurism
Activities involving wrestling,Các hoạt động liên quan đến đấu vật
Zoophilia,Zoophilia
Acetonuria,Aceton niệu
Anal spasm,Hậu quả co thắt
Other specified anemias,Khác quy định khác
"""Anemia, unspecified""","""Thiếu máu, không xác định"""
Anhidrosis,Anhidrosis
Anisocoria,Anisocoria
Asbestosis,Asbestosis
Ascariasis,Ascaria
"""Asthma, unspecified type, unspecified""","""Hen suyễn, loại không xác định, không xác định"""
Babesiosis,Babesiosis
Bacteremia,Vi khuẩn
Bagassosis,Bagassosis
Activities involving basketball,Các hoạt động liên quan đến bóng rổ
Basophilia,Basophilia
Bone donors,Các nhà tài trợ xương
Cervicitis and endocervicitis,Viêm cổ tử cung và viêm nội tiết
Chilblains,Chilblains
Other choreas,Choreas khác
Coxa valga (acquired),Coxa Valga (có được)
Dacryolith,Dacryolith
Diplacusis,Diplacusis
Dysarthria,Dysarthria
Encopresis,Mã hóa
Epispadias,Epispadias
Erysipelas,Erysipelas
Genu varum (acquired),Thực sự (có được)
Giardiasis,Giardia
Glycosuria,Glycosuria
"""Goiter, unspecified""","""Goiter, không xác định"""
Activities involving gymnastics,Các hoạt động liên quan đến thể dục dụng cụ
Heat edema,Phù nhiệt
Hernia of other specified sites without mention of obstruction or gangrene,Thoát vị của các trang web được chỉ định khác mà không đề cập đến tắc nghẽn hoặc hoại thư
Hernia of unspecified site without mention of obstruction or gangrene,Thoát vị của trang web không xác định mà không đề cập đến tắc nghẽn hoặc hoại thư
Herpangina,Herpangina
History of extracorporeal membrane oxygenation (ECMO),Lịch sử oxy hóa màng ngoại bào (ECMO)
Hypotropia,Hạ huyết áp
Activities involving ice hockey,Các hoạt động liên quan đến khúc côn cầu trên băng
Suicide and self-inflicted injury by other specified means,Tự tử và thương tích tự gây ra bởi các phương tiện được chỉ định khác
Suicide and self-inflicted injury by unspecified means,Tự tử và thương tích tự do bằng các phương tiện không xác định
Leucocoria,Bạch cầu
"""Other lichen, not elsewhere classified""","""Lichen khác, không phải nơi nào khác được phân loại"""
"""Lichen, unspecified""","""Lichen, không xác định"""
Lipoma of other specified sites,Lipoma của các trang web được chỉ định khác
"""Lipoma, unspecified site""","""Lipoma, trang web không xác định"""
"""Major anomalies of jaw size, macrogenia""","""Sự bất thường chính của kích thước hàm, macrogenia"""
Mastodynia,Mastodynia
"""Major anomalies of jaw size, microgenia""","""Sự bất thường chính của kích thước hàm, microgenia"""
Micropenis,Micropenis
"""Other specified bacterial infections in conditions classified elsewhere and of unspecified site, mycoplasma""","""Nhiễm trùng vi khuẩn được chỉ định khác trong các điều kiện được phân loại ở nơi khác và vị trí không xác định, Mycoplasma"""
Hypoxemia of newborn,Hạ oxy máu của trẻ sơ sinh
Overweight,Thừa cân
Panuveitis,Viêm panuve
Pedophilia,Ấu dâm
Pemphigoid,Pemphigoid
"""Phobia, unspecified""","""Phobia, không xác định"""
Pilar cyst,U nang pilar
Pinguecula,Pinguecula
"""Plague, unspecified""","""Bệnh dịch hạch, không xác định"""
Polydipsia,Polydipsia
Polyphagia,Polyphagia
Presbyopia,Presbyopia
Activities involving rappelling,Các hoạt động liên quan đến rappelling
Skin donors,Người hiến da
Other specified sites of sprains and strains,Các trang web được chỉ định khác của bong gân và các chủng
Unspecified site of sprain and strain,Trang web không xác định của bong gân và căng thẳng
Tongue tie,Lưỡi buộc
Activities involving trampoline,Các hoạt động liên quan đến tấm bạt lò xo
Essential and other specified forms of tremor,Các hình thức run rẩy cần thiết và được chỉ định khác
Trigonitis,Viền
"""Typhus, unspecified""","""Typhus, không xác định"""
Vaginismus,Âm đạo
Activities involving water polo,Các hoạt động liên quan đến nước polo
Wrist drop (acquired),Thả cổ tay (có được)
Anisakiasis,Bệnh anisak
Aniseikonia,C phục hồi
"""Anthrax, unspecified""","""Anthrax, không xác định"""
Other ascites,Các cổ trướng khác
Assault by other specified means,Tấn công bằng các phương tiện được chỉ định khác
Assault by unspecified means,Tấn công bằng phương tiện không xác định
Azoospermia,Azoospermia
Activities involving bike riding,Các hoạt động liên quan đến đi xe đạp
"""Blister of other, multiple, and unspecified sites, without mention of infection""","""Vụ vỉ của các trang web khác, nhiều và không xác định, mà không đề cập đến nhiễm trùng"""
Brain death,Chết não
Carrier or suspected carrier of other specified infectious organism,Người vận chuyển hoặc nghi ngờ chất mang của sinh vật truyền nhiễm được chỉ định khác
Accidental mechanical suffocation by falling earth or other substance,Tình cờ nghẹt thở cơ học do trái đất rơi hoặc chất khác
Cervicalgia,Cổ tử cung
Cholangitis,Viêm đường mật
"""Cholera, unspecified""","""Cholera, không xác định"""
Coccidiosis,Coccidiosis
Cyclophoria,Cyclophoria
Cyclotropia,Cyclotropia
Dehydration,Mất nước
Dyshidrosis,Dyshidrosis
Dyspareunia,Chứng khó tiêu
"""Erosion, unspecified""","""Xói mòn, không xác định"""
Flail chest,Ngực
Galactocele,Galactocele
Genu valgum (acquired),Chính hãng valgum (có được)
Glossodynia,Glossodynia
Heat cramps,Nhiệt chuột rút
Hematemesis,Huyết huyết
Hematometra,Hematometra
Hydromyelia,Hydromyelia
Hydroureter,Hydroureter
Hyperacusis,Hyperacusis
Hypertropia,Tăng huyết áp
Hypospadias,Hypospadias
Hypothermia,Hạ thân nhiệt
Hypovolemia,Hạ kali máu
Activities involving ice skating,Các hoạt động liên quan đến trượt băng
Keloid scar,Scar sẹo
Kleptomania,Kleptomania
Kwashiorkor,Kwashiorkor
Latent yaws,Ngáp tiềm ẩn
Other specified leprosy,Bệnh phong được chỉ định khác
"""Leprosy, unspecified""","""Bệnh phong, không xác định"""
Listeriosis,Listeriosis
Liver donors,Các nhà tài trợ gan
Lobomycosis,Lobomycosis
Louping ill,Louping bị bệnh
Macrostomia,Macrostomia
Madura foot,Bàn chân Madura
Other malaria,Bệnh sốt rét khác
"""Malaria, unspecified""","""Sốt rét, không xác định"""
Melioidosis,Melioidosis
Memory loss,Mất trí nhớ
Meningismus,Meningismus
Microstomia,Microstomia
Multiparity,Đa đa
Nervousness,Lo lắng
"""Obesity, unspecified""","""Béo phì, không xác định"""
Omphalocele,Omphalocele
"""Otalgia, unspecified""","""Otalgia, không xác định"""
Paraphrenia,Paraphrenia
Perineocele,Perineocele
Proteinuria,Protein niệu
Other nonthrombocytopenic purpuras,Các purpuras không phân tích khác
Pylorospasm,Pylorospasm
Renal colic,Đau bụng thận
Sarcoidosis,Sarcoidosis
Sparganosis [larval diphyllobothriasis],Sparganosis [ấu trùng diphyllobothrias]]
"""Talipes, unspecified""","""Talipes, không xác định"""
Throat pain,Đau họng
Tinea nigra,Tinea nigra
Trichinosis,Trichinosis
Underweight,Thiếu cân
Urethrocele,Niệu đạo
"""Viremia, unspecified""","""Viremia, không xác định"""
Xanthelasma of eyelid,Xanthelasma của mí mắt
Zygomycosis [Phycomycosis or Mucormycosis],Zygomycosis [phycomycosis hoặc mucormycosis]
Nonspecific abnormal visually evoked potential,Tiềm năng bất thường bất thường
"""Abrasion or friction burn of other, multiple, and unspecified sites, without mention of infection""","""Sự mài mòn hoặc đốt ma sát của các trang web khác, nhiều và không xác định, mà không đề cập đến nhiễm trùng"""
"""Abrasion, unspecified""","""Mài mòn, không xác định"""
Other accidents,Tai nạn khác
Unspecified accident,Unspecified accident
Achlorhydria,Achlorhydria
Other activity,Hoạt động khác
Unspecified activity,Hoạt động không xác định
Air embolism,Thuyên tắc không khí
Other alopecia,Rụng tóc khác
"""Alopecia, unspecified""","""Alopecia, không xác định"""
Anal fissure,Khe nứt hậu môn
Anal fistula,Lỗ rò hậu môn
Anencephalus,Anencephaly
Aneurysm of other specified artery,Phình động mạch của động mạch được chỉ định khác
Aneurysm of unspecified site,Phình động mạch của trang web không xác định
Assault by fire,Tấn công bằng lửa
Activities involving BASE jumping,Các hoạt động liên quan đến nhảy cơ sở
"""Backache, unspecified""","""Backache, không xác định"""
Bell's palsy,Bell's Palsy
Black piedra,Piedra đen
"""Blister of hand(s) except finger(s) alone, without mention of infection""","""Bàn tay (các) ngón tay chỉ riêng, không đề cập đến nhiễm trùng"""
"""Blister of face, neck, and scalp except eye, without mention of infection""","""Mụn nước, cổ và da đầu ngoại trừ mắt, mà không đề cập đến nhiễm trùng"""
Burn of unspecified degree of ear [any part],Đốt cháy tai không xác định [bất kỳ phần nào]
"""Burn of unspecified degree of eye (with other parts of face, head, and neck)""","""Burn của Mức độ mắt không xác định (với các phần khác của khuôn mặt, đầu và cổ)"" """
Burn of unspecified degree of lip(s),Đốt cháy mức độ không xác định của môi
Burn of unspecified degree of toe(s) (nail),Đốt cháy mức độ không xác định của ngón chân (móng tay)
Other bursitis,Viêm burs khác
Activity involving calisthenics,Hoạt động liên quan đến calisthenics
Cancrum oris,Cancrum oris
Cardiomegaly,Cardiomegaly
Other cataract,Đục thủy tinh thể khác
Unspecified cataract,Không xác định đục thủy tinh thể
Cervical rib,Xương sườn cổ tử cung
Activities involving cheerleading,Các hoạt động liên quan đến cổ vũ
Cornea donors,Các nhà tài trợ giác mạc
Other specified types of cystitis,Các loại viêm bàng quang được chỉ định khác
"""Cystitis, unspecified""","""Viêm bàng quang, không xác định"""
"""Debility, unspecified""","""Tăng dần, không xác định"""
Dracontiasis,Biến mạch Dracont
"""Dwarfism, not elsewhere classified""","""Dwarfism, không phải nơi nào khác được phân loại"""
Dysmenorrhea,Đau bụng kinh
Ear piercing,Xỏ lỗ tai
Enterobiasis,Enterobiasis
Eosinophilia,Bạch cầu ái toan
"""Epiphora, unspecified as to cause""","""Epiphora, không xác định là gây ra"""
"""Erosion, extending into pulp""","""Xói mòn, kéo dài vào bột giấy"""
"""Accident due to exposure (to weather conditions), not elsewhere classifiable""","""Tai nạn do phơi nhiễm (điều kiện thời tiết), không phải nơi nào khác có thể phân loại"""
Fascioliasis,Bệnh sán lá
Fat embolism,Thuyên tắc béo
Activity involving free weights,Hoạt động liên quan đến trọng lượng miễn phí
Galactosemia,Galactosemia
"""Ganglion, unspecified""","""Ganglion, không xác định"""
Gas gangrene,GAIN GENERNENE
Gastroptosis,Dạ dày
Other specified glaucoma,Bệnh tăng nhãn áp được chỉ định khác
Unspecified glaucoma,Bệnh tăng nhãn áp không xác định
Glycogenosis,Glycogenosis
Activity involving grass drills,Hoạt động liên quan đến diễn tập cỏ
Hallux varus (acquired),Hallux Varus (có được)
Activities involving hang gliding,Các hoạt động liên quan đến Lướt qua
Heat syncope,Syncope nhiệt
Hemivertebra,Hemivertebra
Hepatomegaly,Hepatomegaly
Hidden penis,Dương vật ẩn
Hidradenitis,Hidraden viêm
Hirudiniasis,Hirudinias
Hypocalcemia,Hạ đường huyết
Hyponasality,Hyponasity
"""Hysteria, unspecified""","""Hysteria, không xác định"""
Other activity involving ice and snow,Hoạt động khác liên quan đến băng và tuyết
Iniencephaly,Iniencephaly
Suicide and self-inflicted injury by scald,Tự tử và thương tích tự gây ra bởi Scald
"""Insomnia, unspecified""","""Mất ngủ, không xác định"""
Iridoschisis,Iridoschisis
Irritability,Khó chịu
"""Jaundice, unspecified, not of newborn""","""Vàng da, không xác định, không phải của trẻ sơ sinh"""
Activities involving jumping rope,Các hoạt động liên quan đến nhảy dây
Kidney donors,Người hiến thận
Other kyphosis (acquired),Kyphosis khác (mắc phải)
Kyphosis (acquired) (postural),Kyphosis (mắc phải) (tư thế)
Accident due to lack of food,Tai nạn do thiếu thức ăn
Other lordosis (acquired),Lordosis khác (có được)
Lordosis (acquired) (postural),Lordosis (có được) (tư thế)
Lyme Disease,Bệnh Lyme
Lymphangitis,Viêm lymphang
Macrocheilia,Macrocheilia
Activities involving martial arts,Các hoạt động liên quan đến võ thuật
Metrorrhagia,Metrorrhagia
Microcheilia,Microcheilia
Microglossia,Microglossia
"""Myopathy, unspecified""","""Bệnh cơ, không xác định"""
Nausea alone,Buồn nôn một mình
"""Neoplasm of unspecified nature, site unspecified""","""Neoplasm có tính chất không xác định, trang web không xác định"""
Nephroptosis,Nephroptosis
Neurasthenia,Neurasthenia
Odontoclasia,Odontoclasia
Oligospermia,Oligospermia
Oral aphthae,Aphthae miệng
Other otorrhea,Otorrnhea khác
"""Otorrhea, unspecified""","""Otorrhea, không xác định"""
Pain in limb,Đau ở chi
Palpitations,Đánh trống ngực
Plantar wart,Mụn cóc plantar
Polymyositis,Viêm đa cơ
Presbyacusis,Presbyacusis
Prickly heat,Nhiệt có gai
Pruritus ani,Ngứa Ani
Pseudocowpox,Pseudocowpox
Other pyoderma,Pyoderma khác
"""Pyoderma, unspecified""","""Pyoderma, không xác định"""
Scrub typhus,Bệnh sốt phát ban
Septic shock,Sốc nhiễm trùng
"""Smallpox, unspecified""","""Bệnh đậu mùa, không xác định"""
Spermatocele,SPERMATOCELE
"""Spina bifida without mention of hydrocephalus, unspecified region""","""Spina bifida mà không đề cập đến vùng truyền hình, khu vực không xác định"""
Splenomegaly,Lách to
Symblepharon,Symblepharon
"""Syphilis, unspecified""","""Bệnh giang mai, không xác định"""
Tinea blanca,Tinea Blanca
"""Tinnitus, unspecified""","""Ù tai, không xác định"""
Toxocariasis,Bệnh đau
"""Trachoma, unspecified""","""Trachoma, không xác định"""
Trench fever,Sốt rãnh
Trichuriasis,Bệnh trichuri
Unemployment,Nạn thất nghiệp
Use of selective estrogen receptor modulators (SERMs),Sử dụng các bộ điều biến thụ thể estrogen chọn lọc (SERM)
"""Abrasion or friction burn of hand(s) except finger(s) alone, without mention of infection""","""Mài mòn hoặc đốt ma sát của (các) (các) ngón tay, không đề cập đến nhiễm trùng"""
"""Abrasion or friction burn of face, neck, and scalp except eye, without mention of infection""","""Mài mòn hoặc bỏng ma sát của mặt, cổ và da đầu ngoại trừ mắt, mà không đề cập đến nhiễm trùng"""
"""Abrasion, extending into pulp""","""Mài mòn, kéo dài vào bột giấy"""
Other acariasis,Acaria khác
"""Acariasis, unspecified""","""Acariasis, không xác định"""
Achromatopsia,Achromatopsia
"""Acute hemolytic transfusion reaction, incompatibility unspecified""","""Phản ứng truyền máu cấp tính, không tương thích không xác định"""
Acute upper respiratory infections of unspecified site,Nhiễm trùng đường hô hấp trên cấp tính của vị trí không xác định
Unspecified aftercare,Không xác định chăm sóc sau
"""Amblyopia, unspecified""","""Amblyopia, không xác định"""
"""Amebiasis, unspecified""","""Amebiasis, không xác định"""
Anisometropia,Anisometropia
"""Arteritis, unspecified""","""Viêm động mạch, không xác định"""
Aspergillosis,Aspergillosis
Balantidiasis,Balantidia
Bartonellosis,Bartonellosis
"""Black eye, not otherwise specified""","""Mắt đen, không được chỉ định khác"""
Blastomycosis,Blastomycosis
Blepharospasm,Blepharospasm
"""Blister of trunk, without mention of infection""","""Bệnh phồng rộp của thân cây, không đề cập đến nhiễm trùng"""
Other bone cyst,Các u nang xương khác
Brucella suis,Brucella Suis
Burn of unspecified degree of back [any part],Ghi mức độ trở lại không xác định [bất kỳ phần nào]
Burn of unspecified degree of chin,Đốt cháy mức độ cằm không xác định
Burn of unspecified degree of foot,Ghi mức độ chân không xác định
Burn of unspecified degree of knee,Bỏng độ đầu gối không xác định
Burn of unspecified degree of neck,Đốt cháy cổ không xác định
Burn of unspecified degree of nose (septum),Bỏng của mũi (vách ngăn) không xác định (vách ngăn)
Burn of unspecified degree of palm,Đốt cháy mức độ không xác định của lòng bàn tay
Capillariasis,Cao nguyên
Carbuncle and furuncle of unspecified site,Carbuncle và furuncle của trang web không xác định
Choroideremia,Choroideremia
"""Cleft lip, unspecified""","""Sleft Lip, không xác định"""
Clonorchiasis,Bệnh giòn giã
Family history of consanguinity,Lịch sử gia đình về mối quan hệ
Contusion of unspecified site,Sự lây nhiễm của trang web không xác định
Cracked tooth,Răng nứt
Cramp of limb,Chuột rút của chi
Cubitus varus (acquired),Cubitus varus (có được)
Cysticercosis,Bệnh nang
Descemetocele,Descemetocele
Deutan defect,Khiếm khuyết deutan
Other dysphagia,Chứng khó đọc khác
"""Dysphagia, unspecified""","""Chứng khó đọc, không xác định"""
Early satiety,No sớm
"""Ectropion, unspecified""","""Ectropion, không xác định"""
"""Egg (oocyte) (ovum) donor, unspecified""","""Trứng (tế bào trứng) (Ovum) Nhà tài trợ, không xác định"""
Other emphysema,Khí thê khác
Encephalocele,Encephalocele
"""Entropion, unspecified""","""Entropion, không xác định"""
"""Esotropia, unspecified""","""Esotropia, không xác định"""
Exhibitionism,Triển lãm
"""Exotropia, unspecified""","""Exotropia, không xác định"""
Accidental fall from bed,Tình cờ rơi khỏi giường
Farmers' lung,Phổi của nông dân
"""Fasciitis, unspecified""","""Viêm cân, không xác định"""
Fecal urgency,Sự khẩn cấp trong phân
Gastroparesis,Gastroparesis
Gastroschisis,Gastroschisis
Hallux valgus (acquired),Hallux Valgus (có được)
Hematospermia,Hematospermia
"""Hematuria, unspecified""","""Tiểu máu, không xác định"""
"""Hemophthalmos, except current injury""","""Hemophthalmos, ngoại trừ chấn thương hiện tại"""
"""Hepatitis, unspecified""","""Viêm gan, không xác định"""
Personal history of other injury,Lịch sử cá nhân của chấn thương khác
Other specified types of hydrocele,Các loại hydrocele được chỉ định khác
"""Hydrocele, unspecified""","""Hydrocele, không xác định"""
Hypercalcemia,Tăng calci máu
Hypermetropia,Hypermetropia
Hypernasality,Hypernasality
Hypersplenism,Hypersplenism
Hyposmolality and/or hyponatremia,Hyposmolality và/hoặc hạ natri máu
Impulsiveness,Sự bốc đồng
Iridodialysis,Iridodialysis
Other forms of keratitis,Các dạng viêm giác mạc khác
Unspecified keratitis,Viêm giác mạc không xác định
Kissing spine,Hôn cột sống
Accident due to lack of water,Tai nạn do thiếu nước
Web of larynx,Web của thanh quản
Lichen planus,LICHEN PLANUS
Lipodystrophy,Nhiến mạch
Mallet finger,Ngón tay vẫy
Mediastinitis,Viêm trung thất
"""Megacolon, other than Hirschsprung's""","""Megacolon, ngoài Hirschsprung"""
Microcephalus,Microcephalus
Mittelschmerz,Mittelschmerz
Mixed malaria,Sốt rét hỗn hợp
Mottled teeth,Răng lốm đốm
Murine (endemic) typhus,Typhus murine (đặc hữu)
Myelofibrosis,U tủy
Myelophthisis,Myelophthisis
Myoglobinuria,Myoglobin niệu
"""Nephritis and nephropathy, not specified as acute or chronic, with other specified pathological lesion in kidney""","""Viêm thận và bệnh thận, không được chỉ định là cấp tính hoặc mãn tính, với tổn thương bệnh lý được chỉ định khác ở thận"""
"""Nephritis and nephropathy, not specified as acute or chronic, with unspecified pathological lesion in kidney""","""Viêm thận và bệnh thận, không được chỉ định là cấp tính hoặc mãn tính, với tổn thương bệnh lý không xác định ở thận"""
Other forms of nystagmus,Các dạng nystagmus khác
"""Nystagmus, unspecified""","""Nystagmus, không xác định"""
Orbital cysts,U nang quỹ đạo
Orbital edema or congestion,Phù phi hành hoặc tắc nghẽn
Osteopetrosis,Loãng xương
Otogenic pain,Đau trên xương
Ovale malaria,Bệnh sốt rét ovale
"""Paralysis, unspecified""","""Tê liệt, không xác định"""
Parapsoriasis,Bệnh giun đũa
Pars planitis,Pars planitis
Periodontosis,Nha chu
Activities involving piano playing,Các hoạt động liên quan đến chơi piano
Pingueculitis,Viêm pinguecul
Plasmacytosis,Plasmacytosis
Suicide and self-inflicted poisoning by other carbon monoxide,Tự tử và ngộ độc tự gây ra bởi các carbon monoxide khác
Portal pyemia,Cổng cầu
"""Accident due to privation, unqualified""","""Tai nạn do quyền riêng tư, không đủ tiêu chuẩn"""
Protan defect,Khiếm khuyết protan
Unspecified psychosis,Tâm thần không xác định
"""Pterygium, unspecified""","""Ppetgium, không xác định"""
Other specified retained foreign body,Cơ quan nước ngoài được giữ lại được chỉ định khác
Retinal edema,Phù võng mạc
Rhinoscleroma,Tê nu
Scarlet fever,Sốt đỏ tươi
Other scleritis and episcleritis,Viêm xơ cứng khác và viêm episcler
"""Scleritis, unspecified""","""Viêm xơ cứng, không xác định"""
Other kyphoscoliosis and scoliosis,Kyphoscoliosis và vẹo cột sống khác
Severe sepsis,Nhiễm trùng huyết nặng
Sexual sadism,Sadism tình dục
Short stature,Tầm vóc ngắn
Sialoadenitis,Sialoaden viêm
"""Goiter, specified as simple""","""Goiter, được chỉ định là đơn giản"""
Social phobia,Nỗi ám ảnh xã hội
Sprain of carpal (joint) of wrist,Bong gân cổ tay (khớp) của cổ tay
Sprain of jaw,Bong gân hàm
Sterilization,Khử trùng
Other synovitis and tenosynovitis,Viêm hoạt dịch khác và viêm tenosynov
"""Synovitis and tenosynovitis, unspecified""","""Viêm hoạt dịch và viêm tenosynov, không xác định"""
Syringomyelia and syringobulbia,Syringomyelia và Syringobulbia
"""Taeniasis, unspecified""","""Taenia, không xác định"""
Talipes cavus,Talipes Cavus
Talipes varus,Talipes Varus
Tritan defect,Khiếm khuyết Tritan
Other specified tularemia,Khác máu khác được chỉ định
Unspecified tularemia,Không xác định bệnh tularemia
Typhoid fever,Sốt thương hàn
Ulcer of calf,Loét của bê
Other specified urticaria,Mề đay được chỉ định khác
"""Urticaria, unspecified""","""Mề đay, không xác định"""
"""Vaginitis and vulvovaginitis, unspecified""","""Viêm âm đạo và viêm âm hộ, không xác định"""
Variola major,Variola chính
Vivax malaria [benign tertian],Vivax sốt rét [Tertian lành tính]
Activities involving water sliding,Các hoạt động liên quan đến trượt nước
Abnormal feces,Phân bất thường
"""Abrasion or friction burn of trunk, without mention of infection""","""Sự mài mòn hoặc bỏng ma sát của thân cây, mà không đề cập đến nhiễm trùng"""
Acute cystitis,Viêm bàng quang cấp tính
Other acute pain,Đau cấp tính khác
Heroin causing adverse effects in therapeutic use,Heroin gây ra tác dụng phụ trong sử dụng điều trị
Allescheriosis [Petriellidosis],Allescheriosis [petriellidosis]
"""Traumatic amputation of toe(s) (complete) (partial), without mention of complication""","""Cắt cụt đau ngón chân (hoàn chỉnh) (một phần), mà không đề cập đến sự phức tạp"""
"""Ankylosis of joint, hand""","""Ankylosis của khớp, tay"""
Arcuate uterus,Vòng cung tử cung
"""Temporomandibular joint disorders, arthralgia of temporomandibular joint""","""Rối loạn khớp thái dương, khớp của khớp thái dương"""
Atrial flutter,Vất vả rung
Contusion of back,Sự lây nhiễm của lưng
Bilious emesis,Giả thuyết song song
"""Blister of finger(s), without mention of infection""","""Vụ ngón tay, không đề cập đến nhiễm trùng"""
Blood in stool,Máu trong phân
"""Bronchitis, not specified as acute or chronic""","""Viêm phế quản, không được chỉ định là cấp tính hoặc mãn tính"""
Brucella canis,Brucella Canis
Bubonic plague,Bệnh dịch hạch
Activities involving bungee jumping,Các hoạt động liên quan đến nhảy bungee
Burn of unspecified degree of ankle,Đốt cháy mức độ mắt cá chân không xác định
Burn of unspecified degree of elbow,Ghi mức độ khuỷu tay không xác định
Burn of unspecified degree of scalp [any part],Đốt cháy mức độ không xác định của da đầu [bất kỳ phần nào]
Burn of unspecified degree of thigh [any part],Đốt cháy mức độ đùi không xác định [bất kỳ phần nào]
Burn of unspecified degree of thumb (nail),Đốt cháy mức độ không xác định của ngón tay cái (móng tay)
